2026-03-09 16:47:50 [INFO] uart opened: /dev/serial0
2026-03-09 16:47:50 [INFO] Sensor polling thread started
2026-03-09 16:47:50 [ERROR] server connect fail: Connection refused
2026-03-09 16:47:51 [ERROR] server connect fail: Connection refused
2026-03-09 16:47:52 [ERROR] server connect fail: Connection refused
2026-03-09 16:47:54 [ERROR] server connect fail: Connection refused
2026-03-09 16:47:58 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:06 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:16 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:26 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:36 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:46 [ERROR] server connect fail: Connection refused
2026-03-09 16:48:56 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:06 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:16 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:26 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:36 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:46 [ERROR] server connect fail: Connection refused
2026-03-09 16:49:56 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:06 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:17 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:27 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:37 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:47 [ERROR] server connect fail: Connection refused
2026-03-09 16:50:57 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:07 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:17 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:27 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:37 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:47 [ERROR] server connect fail: Connection refused
2026-03-09 16:51:57 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:07 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:17 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:27 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:37 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:47 [ERROR] server connect fail: Connection refused
2026-03-09 16:52:58 [ERROR] server connect fail: Connection refused
2026-03-09 16:53:08 [ERROR] server connect fail: Connection refused
2026-03-09 16:53:18 [ERROR] server connect fail: Connection refused
2026-03-09 16:53:28 [ERROR] server connect fail: Connection refused
2026-03-09 16:53:38 [ERROR] server connect fail: Connection refused
